rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
77,Andreas Wenz,Andreas Wenz,University of Würzburg,DE,27,,,3,,,,3,openalex,2017,2017,,,,
78,"Wang, Yuchao","Wang, Yuchao",,,,,37,,,,,,,2026,2026,,,,
79,Michelle Manes,Michelle Manes,California Institute of Technology,US,28,,,3,,,,9,openalex,2017,2019,,,,
80,David Berghaus,David Berghaus,Fraunhofer Institute for Intelligent Analysis and Information Systems,DE,,31,,2,2,3,,3,openalex,2022,2023,,,,
81,"Kumar, Veekesh","Kumar, Veekesh",,,,,38,,,,,,,2020,2020,,,,
82,Andrew R. Booker,Andrew R. Booker,University of Bristol,GB,,28,,,2,14,,15,openalex,2005,2026,,,,
83,Danylo Radchenko,Danylo Radchenko,Université de Lille,FR,,32,,2,2,3,,7,openalex,2022,2023,,,,
84,Claude Levesque,Claude Levesque,Laval University,CA,14,,196,4,,,,,,2013,2017,,,,
85,"Kovalevskaya, È. I.","Kovalevskaya, E. I.",,,,,39,,,,,,,,,,,,
86,Alex Samuel Bamunoba,Alex Samuel Bamunoba,Lira Hospital,UG,,33,,1,2,3,,3,openalex,2014,2020,,,,
87,Yu Yasufuku,Yu Yasufuku,Waseda University,JP,32,,76,5,,,,4,openalex,2015,2026,,,,
88,"García-Sánchez, P. A.","Garcia-Sanchez, P. A.",,,,,41,,,,,,,,,,,,
89,Samir Siksek,Samir Siksek,University of Warwick,GB,30,,,5,,,,20,openalex,2004,2023,,,,
90,Victor Volfson,Victor Volfson,,,,35,,2,2,1,,,,2026,2026,,,,
91,Paulo Ribenboim,Paulo Ribenboim,Queen's Medical Center,US,,26,,,2,24,,29,openalex,1999,2001,,,,
92,"Adamczewski, Boris","Adamczewski, Boris",,,,,44,1,,,,,,2012,2012,,,,
93,"Mueller, J.","Mueller, J.",,,,,42,,1,18,,,,1987,1987,,,,
94,Maximus Shlygin,Maximus Shlygin,,,,36,,,2,0,,,,2026,2026,,,,
95,Tsz Ho Chan,Tsz Ho Chan,Pok Oi Hospital,HK,34,29,,5,2,4,,8,openalex,2005,2024,,,,
96,James Norman Ibbotson,James Norman Ibbotson,,,,37,,,2,0,,,,2026,2026,,,,
97,"Zaharescu, Alexandru","Zaharescu, Alexandru",University of Illinois Urbana-Champaign,US,,,46,1,,,,24,openalex,2012,2012,,,,
98,A. Pethö,A. Petho,University of Debrecen,HU,,24,145,,2,53,,16,openalex,1995,1995,,,,
99,David Zelenka,David Zelenka,,,,38,,,2,0,,3,openalex,2026,2026,,,,
100,Kunrui Yu,Kunrui Yu,Hong Kong University of Science and Technology,HK,,25,140,,2,48,,10,openalex,2001,2005,,,,
